ID Cliente,Región,Servicio,Puntuación (1-10),Comentarios,Fecha de Encuesta
38,Norte,Atención al Cliente,10,Muy satisfecho con el servicio.,2024-01-05
38,Norte,Consultoría Legal,4,Resolución tardía del problema.,2024-01-17
10,Este,consultoria financiera,9,Recomendaría este servicio a otros.,2024-02-09
14,   Norte,Consultoría Legal,9,Recomendaría este servicio a otros.,2024-03-24
34,Oeste,Consultoría Financiera,4,No resolvieron mi problema a tiempo.,2024-02-25
16,Sur,Atención Técnica,5,Necesita mejorar la comunicación.,2024-02-01
22,Oeste,Consultoría Legal,8,,2024-03-14
5,Este,Consultoría Financiera,1,"Buen servicio, pero lento.",2024-01-31
27,norte,       Atención al Cliente,4,Necesita mejorar la comunicación.,2024-01-04
12,Este,Atención Técnica,6,Necesita mejorar la comunicación.,2024-01-14
15,Sur,Atención Técnica,5,"Buen servicio, pero lento.",2024-02-05
6,Norte,Consultoría Financiera,2,Resolución tardía del problema.,2024-01-04
20,         norte,consultoria              financiera,4,No resolvieron mi problema a tiempo.,2024-03-10
37,Norte,Atención Técnica,4,"Buen servicio, pero lento.",2024-02-15
20,norte,Consultoría Financiera,8,"Buen servicio, pero lento.",2024-03-05
37,Norte,Consultoría Financiera,6,"Buen servicio, pero lento.",2024-01-13
17,norte,Consultoría Legal,5,Necesita mejorar la comunicación.,2024-01-28
26,Sur,consultoria financiera,9,Muy satisfecho con el servicio.,2024-01-20
17,   Norte,Atención           Técnica,9,Excelente atención y seguimiento.,2024-01-27
11,Norte,consultoria financiera,7,Recomendaría este servicio a otros.,2024-02-29
17,Sur,Consultoría Financiera,8,Excelente atención y seguimiento.,2024-03-10
4,Sur,Consultoría Financiera,8,Muy satisfecho con el servicio.,2024-03-05
30,norte,Atención al Cliente,4,Necesita mejorar la comunicación.,2024-02-06
8,Este,Atención al Cliente,4,"Buen servicio, pero lento.",2024-03-10
16,Norte,Atención Técnica,,,2024-03-17
26,Oeste,Atención al Cliente,10,,2024-03-25
20,norte,consultoria financiera,4,No resolvieron mi problema a tiempo.,2024-03-10
11,Norte,,5,,2024-03-21
37,norte,Atención Técnica,4,Resolución tardía del problema.,2024-03-29
34,Sur,Consultoría Legal,4,"Buen servicio, pero lento.",2024-02-09
23,Oeste,Consultoría Legal,10,Muy satisfecho con el servicio.,2024-02-03
20,norte,consultoria financiera,4,"Buen servicio, pero lento.",2024-01-18
26,Sur,consultoria financiera,9,Muy satisfecho con el servicio.,2024-01-20
22,norte,        Consultoría Legal,10,Excelente atención y seguimiento.,2024-01-07
12,Este,Consultoría Financiera,4,No resolvieron mi problema a tiempo.,2024-02-10
7,Norte,Consultoría Legal,8,Muy satisfecho con el servicio.,2024-03-09
24,Norte,Consultoría Legal,4,"Buen servicio, pero lento.",2024-03-12
8,Oeste,Consultoría Financiera,4,,2024-02-16
10,Sur,Atención Técnica,10,El tiempo de respuesta fue muy rápido.,2024-03-21
11,Norte,,5,,2024-03-21
9,Norte,consultoria financiera,7,,2024-02-24
30,norte,Atención al Cliente,9,,2024-03-15
22,norte,Consultoría Financiera,7,Recomendaría este servicio a otros.,2024-03-30
6,Este,Consultoría Financiera,5,Necesita mejorar la comunicación.,2024-02-03
25,Oeste,Atención al Cliente,5,No resolvieron mi problema a tiempo.,2024-01-30
28,      Este,Consultoría Legal,8,Recomendaría este servicio a otros.,2024-03-26
36,norte,Consultoría Financiera,5,Resolución tardía del problema.,2024-02-05
19,Sur,Atención Técnica,7,,2024-02-21
11,Norte,Atención al Cliente,6,Necesita mejorar la comunicación.,2024-02-19
14,Norte,,7,El tiempo de respuesta fue muy rápido.,2024-03-23
28,norte,Consultoría Financiera,7,Recomendaría este servicio a otros.,2024-01-14
24,Sur,Atención Técnica,2,Resolución tardía del problema.,2024-01-03
34,Oeste,Consultoría Financiera,4,No resolvieron mi problema a tiempo.,2024-02-25
34,Norte,Consultoría Financiera,3,,2024-01-31
16,Este,Consultoría Financiera,5,"Buen servicio, pero lento.",2024-03-09
36,Este,Consultoría Legal,2,,2024-02-11
1,Norte,Atención Técnica,4,,2024-03-12
11,Norte,consultoria financiera,7,Recomendaría este servicio a otros.,2024-02-29
34,Sur,Consultoría Legal,4,"Buen servicio, pero lento.",2024-02-09
11,norte,Consultoría Legal,4,"Buen servicio, pero lento.",2024-03-29
25,norte,Consultoría Legal,5,No resolvieron mi problema a tiempo.,2024-02-04
5,Sur,consultoria financiera,8,El tiempo de respuesta fue muy rápido.,2024-03-22
1,Sur,,10,Excelente atención y seguimiento.,2024-02-13
36,Este,Consultoría Financiera,4,No resolvieron mi problema a tiempo.,2024-01-09
28,Oeste,Consultoría Financiera,7,Excelente atención y seguimiento.,2024-01-27
16,Este,Consultoría Financiera,5,"Buen servicio, pero lento.",2024-03-09
30,norte,Atención al Cliente,9,,2024-03-15
14,Norte,,7,El tiempo de respuesta fue muy rápido.,2024-03-23
33,Sur,Consultoría Legal,7,Excelente atención y seguimiento.,2024-01-26
